任務領域,詞彙,漢語拼音,詞類
個人資料,出生,chūshēng ,Vp
,國,guó ,N
,不同,bùtóng ,Vs
,地址,dìzhǐ,N
,市,shì,N
,傳真,chuánzhēn ,N
,留言,liú​yán,Vi
,日期,rìqí ,N
,時間,shíjiān ,N
,鐘頭,zhōngtóu ,N
,晚,wǎn ,N
,夜,yè ,N
,禮拜,lǐbài ,N
,禮拜天,lǐbàitiān ,N
,前天,qiántiān ,N
,後天,hòutiān ,N
,從前,cóngqián ,N
,夏,xià ,N
,冬,dōng ,N
,秋,qiū ,N
,春,chūn ,N
,一會兒,yīhuǐér ,N
,不久,bùjiǔ ,N
,剛剛,gānggāng ,Adv
,剛才,gāngcái ,Adv
,當然,dāngrán ,Adv
,自己,zìjǐ ,N
,別人,biérén ,N
,年紀,niánjì ,N
,男人,nánrén ,N
,女人,nǚrén ,N
,大人,dàrén ,N
,老人,lǎorén ,N
,習慣,xíguàn ,N
,習慣 ,xíguàn ,Vs
,家庭,jiātíng ,N
,父親,fùqīn ,N
,母親,mǔqīn ,N
,父母,fùmŭ ,N
,爺爺,yéye,N
,奶奶,nǎinai ,N
,關係,guānxì ,N
,教堂,jiàotáng ,N
,好 ,hǎo ,Vs
,真 ,zhēn ,Vs
,最,zuì ,Adv
,更,gèng ,Adv
,愉快,yúkuài ,Vs
,開心,kāixīn ,Vs
,著急,zhāojí ,Vs
,擔心,dānxīn ,Vst
,生氣,shēngqì ,Vs-sep
,怕,pà ,Vst
,哭,kū ,Vi
,難過,nánguò ,Vs
,傷心,shāngxīn ,Vs-sep
,美,měi ,Vs
,美麗,měilì ,Vs
,聰明,cōngmíng ,Vs
,認真,rènzhēn ,Vs
,勇敢,yŏnggăn ,Vs
,禮貌,lĭmào ,N
,害羞,hàixiū ,Vs
,應該,yīnggāi ,Vaux
,相信,xiāngxìn ,Vst
,經驗 ,jīngyàn ,N
,關心,guānxīn ,Vst
,辛苦,xīnkǔ ,Vs
,願意,yuànyì ,Vaux
,心情,xīnqíng ,N
,幸福,xìngfú ,Vs
,可憐,kělián ,Vs
,差,chà ,Vs-pred
工作,職業,zhíyè ,N
,教師,jiàoshī ,N
,經理,jīnglǐ ,N
,記者,jìzhě ,N
,服務員/服務生,fú​wù​yuán/fúwùshēng ,N
,顧客,gùkè ,N
,教書,jiāoshū ,V-sep
,開會,kāihuì ,V-sep
,下班,xiàbān ,V-sep
,危險,wéixiǎn ,Vs
,安全,ānquán ,Vs
,安全 ,ānquán ,N
,成功,chénggōng ,Vs
,報告,bàogào ,V
,報告 ,bàogào ,N
,打算,dǎsuàn ,Vaux
,機會,jīhuì ,N
,當,dāng ,Prep
,如果,rúguǒ ,Conj
,計畫/劃 ,jìhuà,V
,計畫,jìhuà ,N
,努力,nǔlì ,Vs
,管理,guănlǐ ,V
教育,學院,xuéyuàn ,N
,小學生,xiăoxuéshēng ,N
,大學生,dàxuéshēng ,N
,同學,tóngxué ,N
,校長,xiàozhǎng ,N
,放假,fàngjià,V-sep
,畢業,bìyè ,Vp-sep
,開學,kāixué ,Vp
,成績,chéngjī ,N
,學期,xuéqí ,N
,學費,xuéfèi ,N
,暑假,shŭjià ,N
,寒假,hánjià ,N
,服務,fúwù ,V
,宿舍,sùshè,N
,操場,cāochăng ,N
,校園,xiàoyuán ,N
,中文,zhōngwén ,N
,文化,wénhuà ,N
,語法,yǔfǎ ,N
,漢語,hànyǔ ,N
,書法,shūfă ,N
,班,bān ,M
,班 ,bān ,N
,書桌,shūzhuō ,N
,課,kè ,N
,字典,zìdiǎn ,N
,漢字,hànzì ,N
,鉛筆,qiānbǐ ,N
,尺,chǐ ,N
,毛筆,máobĭ ,N
,教,jiào ,V
,講,jiǎng ,V
,講話,jiǎnghuà ,V-sep
,告訴,gàosù ,V
,念/唸,niàn ,V
,練習 ,liànxí ,N
,討論,tǎolùn ,V
,認為,rènwéi ,V
,解釋,jiěshì ,N
,同意,tóngyì ,Vst
,了解/瞭解,liǎojiě ,Vst
,清楚,qīngchǔ ,Vs
,無聊,wúliáo ,Vs
,決定,juédìng ,Vp
,遍,biàn ,M
,交,jiāo ,V
,借,jiè ,V
,算,suàn ,V
,對,duì ,Vs
,錯,cuò ,Vp
,辦法,bànfǎ ,N
,方法,fāngfǎ ,N
,有用,yǒuyòng ,Vs
,進步,jìnbù ,Vp
,忘,wàng ,Vp
,記,jì ,V
房屋與家庭、環境,公寓,gōngyù ,N
,大樓,dàlóu ,N
,臥室,wòshì ,N
,花園,huāyuán ,N
,門口,ménkǒu ,N
,浴室,yùshì ,N
,樓梯,lóutī ,N
,牆,qiáng ,N
,洗衣機,xǐyījī ,N
,冰箱,bīngxiāng ,N
,燈,dēng ,N
,打開,dǎkāi ,Vp
,盒子,hézi,N
,鄰居,línjū ,N
,熱鬧,rènào ,Vs
,吵,chǎo ,Vs
,滿意,mǎnyì ,Vst
,乾淨,gānjìng ,Vs
,房租,fángzū ,N
,租,zū ,V
,開水,kāishuǐ ,N
,鄉下,xiāngxià ,N
,森林,sēnlín ,N
,地,dì ,N
,草,cǎo ,N
,枝,zhī ,M
,隻,zhī ,M
,動物,dòngwù ,N
,牛,niú ,N
,虎,hŭ ,N
,羊,yáng ,N
,豬,zhū ,N
,月亮,yuèliàng ,N
,星星,xīngxīng ,N
,雲,yún ,N
,地球,dìqiú ,N
,世界,shìjiè ,N
,環境,huánjìng ,N
,火,huǒ ,N
,晴天,qíngtiān ,N
,暖和,nuǎnhuo ,Vs
,涼快,liángkuài ,Vs
,溫暖,wēnnuăn ,Vs
,度,dù ,M
,溫度,wēndù ,N
,雨,yǔ ,N
,雪,xuě ,N
,空氣,kōngqì ,N
,間,jiān ,M
日常生活,睡,shuì ,Vi
,發生,fāshēng ,Vpt
,發現,fāxiàn ,Vp
,發現 ,fāxiàn ,N
,照顧,zhàogù ,V
,打掃,dǎsǎo ,V
,餐,cān ,N
,起來,qǐlái ,Vp
,搬,bān ,V
,掛,guà ,V
,有空/有空兒,yǒukòng/yǒukòngr,Vs
,過年,guònián ,Vi
閒暇時間、娛樂,結束,jiéshù ,Vp
,完,wán ,Vp
,散步,sànbù ,V-sep
,爬,pá ,Vi
,跳,tiào ,Vi
,座位,zuòwèi ,N
,博物館,bówùguăn ,N
,節目,jiémù ,N
,新聞,xīnwén ,N
,政治,zhèngzhì ,N
,體育,tǐyù ,N
,網站,wǎngzhàn ,N
,還,hái ,Adv
,經常,jīngcháng ,Adv
,平常,píngcháng ,N
,總是,zǒngshì ,Adv
,已經,yǐjīng ,Adv
,各,gè ,Det
,雜誌,zázhì ,N
,文章,wénzhāng ,N
,故事,gùshì ,N
,小說,xiǎoshuō ,N
,美術,měishù ,N
,藝術,yìshù ,N
,興趣,xìngqù ,N
,收,shōu ,V
,談,tán ,V
,聊天/聊天兒,liáotiān/liáotiānr,V-sep
,唱,chàng ,V
,歌,gē,N
,早,zǎo ,Vs
,遲到,chídào ,Vp
,後來,hòulái ,N
,變,biàn ,V
,跳舞,tiàowǔ ,V-sep
,樂器,yuèqì ,N
,吉他,jítā ,N
,鋼琴,gāngqín ,N
,可怕,kěpà ,Vs
,活動,huódòng ,N
,就,jiù ,Adv
,消息,xiāoxí ,N
,才,cái ,Adv
,又,yòu ,Adv
與他人的關係,客人,kèrén ,N
,不好意思,bùhǎoyìsi ,
,怎麼了,zěnmele ,
,怎麼辦,zěnmebàn ,
,客氣,kèqì ,Vs
,舞會,wŭhuì ,N
,最近,zuìjìn ,Adv
,請客,qǐngkè ,V-sep
,慶祝,qìngzhù ,V
,聽說,tīngshuō ,V
,感謝,gǎnxiè ,Vst
,見面,jiànmiàn ,V-sep
,約,yuē ,V
,事,shì ,N
,事情,shìqíng ,N
,明信片,míngxìnpiàn ,N
,卡片,kǎpiàn ,N
,幫,bāng ,V
,弄,nòng ,V
,檢查,jiǎnchá ,V
,通知,tōngzhī ,V
,通知 ,tōngzhī ,N
,叫 ,jiào ,V
,麻煩,máfán ,N
,偷,tōu ,V
,錢包,qiánbāo ,N
,拉,lā ,V
,小偷,xiǎotōu ,N
